Province,City,Number,Lng,Lat
新疆维吾尔自治区,哈密市,19,93.529373,42.344467
新疆维吾尔自治区,阿勒泰地区,17,87.926214,47.890137
江苏省,无锡市,31,119.790265,31.362245
甘肃省,嘉峪关市,16,98.281635,39.802397
湖北省,,12,110.487231,31.595768
黑龙江省,绥化市,24,126.989095,46.646064
江苏省,苏州市,49,120.831486,31.669446
黑龙江省,七台河市,7,131.019048,45.775004
甘肃省,定西市,15,104.626638,35.586056
湖南省,湘西土家族苗族自治州,6,109.770926,28.317143
浙江省,嘉兴市,4,120.618727,30.442177
山东省,青岛市,2,120.521106,36.487909
青海省,海西蒙古族藏族自治州,10,97.342625,37.373799
浙江省,宁波市,5,121.338408,30.189257
广西壮族自治区,来宾市,16,109.231817,23.741166
青海省,海北藏族自治州,4,100.879802,36.960654
新疆维吾尔自治区,和田地区,7,79.915814,37.15335
海南省,,3,109.996736,19.693135
海南省,,1,109.861849,19.039771
河南省,许昌市,1,113.855568,34.236601
北京市,北京市,4,116.478394,40.026115
四川省,阿坝藏族羌族自治州,10,102.228565,31.905763
四川省,南充市,1,106.078093,31.602117
新疆维吾尔自治区,吐鲁番市,5,89.266025,42.678925
浙江省,台州市,1,121.421046,28.400554
吉林省,长春市,11,125.291098,43.915305
北京市,北京市,11,116.425195,39.65279
青海省,海东市,6,102.376689,36.312743
江苏省,镇江市,1,119.845138,32.189469
江苏省,常州市,3,119.382839,31.425242
北京市,北京市,4,116.418291,39.921175
北京市,北京市,10,116.295714,39.965035
北京市,北京市,8,116.362495,39.932626
海南省,,1,110.063364,19.347749
青海省,玉树藏族自治州,3,96.71235,32.906575
北京市,北京市,4,116.44265,39.919988
吉林省,延边朝鲜族自治州,21,129.471302,43.059667
新疆维吾尔自治区,,6,81.291737,40.61568
浙江省,绍兴市,3,120.281434,29.6994
山西省,运城市,1,110.708539,35.631891
广东省,湛江市,2,110.708187,21.441681
湖北省,随州市,1,113.812619,31.682325
广东省,揭阳市,2,116.078166,23.288954
广东省,江门市,1,112.286461,22.240985
北京市,北京市,5,116.457818,39.922318
北京市,北京市,16,116.442182,39.946201
四川省,成都市,1,103.889866,31.148577
内蒙古自治区,兴安盟,5,122.048167,46.083756
广东省,清远市,1,112.459189,24.937021
河北省,沧州市,2,116.163214,38.741105
海南省,,4,109.656113,18.597592
北京市,北京市,9,116.38025,39.91557
海南省,,1,109.062698,18.658614
湖南省,益阳市,1,112.564942,28.977186
海南省,,6,110.780909,19.750947
内蒙古自治区,兴安盟,6,122.081534,46.116943
湖南省,长沙市,1,113.721985,28.234472
北京市,北京市,1,116.439655,39.903066
黑龙江省,哈尔滨市,1,128.31617,45.083895
山东省,潍坊市,1,118.470187,36.680584
新疆维吾尔自治区,伊犁哈萨克自治州,8,81.289048,44.020356
山东省,枣庄市,1,117.147616,35.065791
甘肃省,兰州市,1,103.719156,36.115523
广东省,阳江市,1,111.694449,22.223898
江苏省,盐城市,1,120.585064,33.265909
山东省,烟台市,1,120.400517,37.344146
四川省,甘孜藏族自治州,8,101.969232,30.055144
浙江省,金华市,4,120.108684,28.940177
内蒙古自治区,锡林郭勒盟,1,111.966178,43.41778
海南省,,4,108.85101,18.998161
云南省,西双版纳傣族自治州,2,100.927318,22.111413
江苏省,泰州市,1,120.135346,32.213679
新疆维吾尔自治区,塔城地区,1,84.277878,44.407687
贵州省,黔南布依族苗族自治州,1,107.491217,26.777119
山西省,临汾市,2,110.710805,36.432636
江苏省,常州市,1,119.534151,31.728356
河北省,唐山市,1,118.257848,39.692123
广西壮族自治区,北海市,1,109.165344,21.518621
山东省,烟台市,1,120.862694,37.66116
北京市,北京市,7,116.443664,39.922376
内蒙古自治区,锡林郭勒盟,3,116.136948,44.078961
西藏自治区,昌都市,5,96.36244,30.510925
内蒙古自治区,呼伦贝尔市,1,117.603687,49.500032
河南省,郑州市,1,113.03959,34.703799
山东省,济宁市,2,117.03179,35.615761
